Site,Latitude,Longitude,Total Phosphorus (as P),NO3+NO2 (as N),Total Suspended Solids,Field pH,Field Temp,Chloride,Total Copper
C08,43.70336,-79.810104,0.038,1.35,6.3,9.16,22.3,696,4
C09,43.699919,-79.814009,0.043,0.08,11,8.99,22.2,333,2
C100,43.695011,-79.845374,0.065,0.73,21,8.15,22.3,41,7
C101,43.700712,-79.843054,0.024,0.89,15.5,9.42,23.3,407,3
C104,43.71552,-79.82639,0.038,0.37,25,9.99,22,355,3
C106,43.700519,-79.790235,0.041,0.38,23.5,8.34,21.7,108,11
C115,43.649709,-79.81096,0.1,0.42,11,8.65,24.5,127,2
C17,43.697641,-79.809108,0.024,0.53,5.3,9.26,22.5,180,2
C45,43.654506,-79.763944,0.028,1.97,15,8.19,24.1,940,20
C53,43.619371,-79.766455,0.017,0.46,12,9.38,24.7,434,7
C56,43.694671,-79.803082,0.036,1.7,2.7,7.89,22.5,1560,6
C76,43.627494,-79.780279,0.029,0.73,8,8.46,23.8,274,5
C80,43.647858,-79.770863,0.035,0.58,2.7,8.47,21.7,233,4
C81,43.649479,-79.774857,0.025,0.33,3.3,9.01,24.5,261,2
C82,43.653093,-79.769682,0.025,1.13,3,8.18,23.3,540,11
C83,43.651934,-79.775277,0.02,0.33,4,8.32,23.9,123,2
C84,43.650756,-79.780486,0.061,0.21,8.67,8.92,24.3,157,1
C86,43.656636,-79.775544,0.045,0.45,4,8.74,22.9,277,6
C88,43.668435,-79.790004,0.018,0.37,7,8.53,23.8,299,5
C92,43.666038,-79.820181,0.026,0.56,5.7,9.13,22.9,149,4
C94,43.675108,-79.833236,0.044,0.37,13.3,9.43,23.7,115,5
C95,43.67387,-79.837461,0.049,0.69,24.5,8.53,24,104,7
C97,43.685699,-79.839816,0.017,0.08,3.3,9,24.2,305,2
C98,43.686316,-79.844498,0.033,0.035,8.33,9.27,23.5,184,3
T01,43.793788,-79.740565,0.033,0.07,6.3,9,23.5,114,2
T03,43.789144,-79.744545,0.051,1.15,16.5,8.24,21.7,151,7
T06,43.78169,-79.734519,0.018,0.36,0.335,8.78,24.6,202,2
T105,43.786285,-79.672851,0.043,0.17,32.5,9.05,22.5,228,3
T106,43.785984,-79.668431,0.043,0.26,36,9.56,22.4,207,2
T107,43.790199,-79.674123,0.037,0.45,34,8.93,22.1,203,3
T108,43.792273,-79.678773,0.031,0.07,15.7,8.54,23.1,615,6
T109,43.792725,-79.676834,0.049,0.24,17.3,8.92,25.5,199,3
T13,43.769427,-79.725484,0.053,1.09,7.33,7.84,21.7,68.2,6
T15,43.778276,-79.726022,0.023,0.28,6.3,8.65,23.1,127,1
T17,43.773728,-79.725751,0.025,0.16,2.7,8.1,22.8,17.7,2
T53,43.768336,-79.678404,0.072,0.73,1.3,8.63,24.3,354,4
T54,43.772197,-79.67909,0.022,0.28,20,8.82,24.2,254,4
T55,43.77531,-79.68473,0.041,0.7,14.3,8.53,24.5,455,4
T56,43.779684,-79.684779,0.048,0.32,9,8.55,25.6,269,3
T57,43.770044,-79.68907,0.035,0.55,10.3,8.31,24.4,373,5
T57B,43.769333,-79.686876,0.029,0.21,5.3,8.31,25.1,495,7
T58,43.770963,-79.701827,0.043,0.65,7,8.22,23.9,570,5
T59,43.769272,-79.711381,0.02,0.85,4,8.29,22.6,78.1,5
T60,43.762904,-79.708616,0.017,0.32,1.7,8.2,22.6,30,2
T76,43.742639,-79.652045,0.017,0.035,8,8.79,24.7,488,5
T90,43.658766,-79.713659,0.027,0.17,4.7,9.11,25.1,127,4
